ct,n,h,td,d_ref
HEAT_HIGH_T,GERMANY,14,9,23.65296803652969
HEAT_HIGH_T,GERMANY,14,10,23.65296803652969
HEAT_HIGH_T,GERMANY,14,11,23.65296803652969
HEAT_HIGH_T,GERMANY,14,12,23.65296803652969
HEAT_HIGH_T,GERMANY,15,1,23.65296803652969
HEAT_HIGH_T,GERMANY,15,2,23.65296803652969
HEAT_HIGH_T,GERMANY,15,3,23.65296803652969
HEAT_HIGH_T,GERMANY,15,4,23.65296803652969
HEAT_HIGH_T,GERMANY,15,5,23.65296803652969
HEAT_HIGH_T,GERMANY,15,6,23.65296803652969
HEAT_HIGH_T,GERMANY,15,7,23.65296803652969
HEAT_HIGH_T,GERMANY,15,8,23.65296803652969
HEAT_HIGH_T,GERMANY,15,9,23.65296803652969
HEAT_HIGH_T,GERMANY,15,10,23.65296803652969
HEAT_HIGH_T,GERMANY,15,11,23.65296803652969
HEAT_HIGH_T,GERMANY,15,12,23.65296803652969
HEAT_HIGH_T,GERMANY,16,1,23.65296803652969
HEAT_HIGH_T,GERMANY,16,2,23.65296803652969
HEAT_HIGH_T,GERMANY,16,3,23.65296803652969
HEAT_HIGH_T,GERMANY,16,4,23.65296803652969
HEAT_HIGH_T,GERMANY,16,5,23.65296803652969
HEAT_HIGH_T,GERMANY,16,6,23.65296803652969
HEAT_HIGH_T,GERMANY,16,7,23.65296803652969
HEAT_HIGH_T,GERMANY,16,8,23.65296803652969
HEAT_HIGH_T,GERMANY,16,9,23.65296803652969
HEAT_HIGH_T,GERMANY,16,10,23.65296803652969
HEAT_HIGH_T,GERMANY,16,11,23.65296803652969
HEAT_HIGH_T,GERMANY,16,12,23.65296803652969
HEAT_HIGH_T,GERMANY,17,1,23.65296803652969
HEAT_HIGH_T,GERMANY,17,2,23.65296803652969
HEAT_HIGH_T,GERMANY,17,3,23.65296803652969
HEAT_HIGH_T,GERMANY,17,4,23.65296803652969
HEAT_HIGH_T,GERMANY,17,5,23.65296803652969
HEAT_HIGH_T,GERMANY,17,6,23.65296803652969
HEAT_HIGH_T,GERMANY,17,7,23.65296803652969
HEAT_HIGH_T,GERMANY,17,8,23.65296803652969
HEAT_HIGH_T,GERMANY,17,9,23.65296803652969
HEAT_HIGH_T,GERMANY,17,10,23.65296803652969
HEAT_HIGH_T,GERMANY,17,11,23.65296803652969
HEAT_HIGH_T,GERMANY,17,12,23.65296803652969
